chunk_id,edition_id,work_id,deep_id,title,author,year,genre_deep,play_type_deep,tcp,n_nodes_in_chunk,len_B_words
28_00014,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,59,463
28_00015,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,59,463
28_00016,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,85,511
32_00000,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,79,515
32_00001,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,77,501
32_00002,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,75,487
32_00003,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,80,521
32_00004,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,77,500
32_00005,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,74,490
32_00006,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,78,488
32_00007,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,84,508
32_00008,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,77,504
32_00009,32,20,26,The Interlude of Youth,Anonymous,1565,not in BritDrama,Interlude;Nonprofessional,A04054,86,500
33_00000,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,76,520
33_00001,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,74,529
33_00002,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,67,507
33_00003,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,68,510
33_00004,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,71,503
33_00005,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,68,498
33_00006,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,75,531
33_00007,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,65,499
33_00008,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,70,493
33_00009,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,71,501
33_00010,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,67,489
33_00011,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,68,494
33_00012,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,71,490
33_00013,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,67,489
33_00014,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,65,497
33_00015,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,64,489
33_00016,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,67,483
33_00017,33,21,27,The Four P's,"Heywood, John",1544,not in BritDrama,Interlude;Nonprofessional,A03177,62,489
37_00000,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,70,565
37_00001,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,57,526
37_00002,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,52,478
37_00003,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,61,516
37_00004,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,54,496
37_00005,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,62,549
37_00006,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,61,544
37_00007,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,50,470
37_00008,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,52,455
37_00009,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,51,446
37_00010,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,55,475
37_00011,37,22,31,The Chief Promises of God unto Man (God's Promises),"Bale, John",1547,biblical play,Interlude;Nonprofessional,A02906,54,479
